,album_id,artist_id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,chart_position,monthly_listeners,followers,playcount
1459,1oQef7548sivCtMQwK8Wgo,7zliF6Q946WznVk3ZMYhZX,Rapper's Delight - Single Version,0.917,0.692,2,-11.665,1,0.244,0.185,1.09e-05,0.0686,0.819,111.782,audio_features,0tm6gsXe0LSm9zeSspyMQu,spotify:track:0tm6gsXe0LSm9zeSspyMQu,https://api.spotify.com/v1/tracks/0tm6gsXe0LSm9zeSspyMQu,https://api.spotify.com/v1/audio-analysis/0tm6gsXe0LSm9zeSspyMQu,235840,4,0,1307785,284476,82191207
1460,2Uc0HAF0Cj0LAgyzYZX5e3,2Mu5NfyYm8n5iTomuKAEHl,Doo Wop (That Thing),0.535,0.505,2,-8.926,0,0.245,0.0393,0.0,0.0923,0.495,99.935,audio_features,2Uu8IiLkLY0UXhCHka4Dlr,spotify:track:2Uu8IiLkLY0UXhCHka4Dlr,https://api.spotify.com/v1/tracks/2Uu8IiLkLY0UXhCHka4Dlr,https://api.spotify.com/v1/audio-analysis/2Uu8IiLkLY0UXhCHka4Dlr,320267,4,0,9225057,2153480,289068911
1461,4N9XukFNkd9WJzgj78amdn,4P0dddbxPil35MNN9G2MEX,Insane in the Brain,0.887,0.803,8,-4.712,0,0.246,0.0495,0.0784,0.0949,0.787,102.273,audio_features,4qM83Y14CIUsiSt2dpQ1sT,spotify:track:4qM83Y14CIUsiSt2dpQ1sT,https://api.spotify.com/v1/tracks/4qM83Y14CIUsiSt2dpQ1sT,https://api.spotify.com/v1/audio-analysis/4qM83Y14CIUsiSt2dpQ1sT,208533,4,0,5294137,1601923,268156362
1462,18XFe4CPBgVezXkxZP6rTb,2WKdxPFRD7IqZvlIAvhMgY,Ready or Not,0.607,0.422,10,-13.364,0,0.499,0.209,0.0,0.0839,0.563,130.47,audio_features,3vZO25GdYuqFrR1kzZADnp,spotify:track:3vZO25GdYuqFrR1kzZADnp,https://api.spotify.com/v1/tracks/3vZO25GdYuqFrR1kzZADnp,https://api.spotify.com/v1/audio-analysis/3vZO25GdYuqFrR1kzZADnp,226987,3,0,6130945,1101233,238220077
1463,2MJEvcUvsLPjsvVgqn8xa4,3f5fB1YUbkUnW7cf7I0R48,Mind Playing Tricks on Me,0.886,0.512,10,-11.825,0,0.237,0.207,0.0,0.0991,0.454,93.997,audio_features,63BokRfXSQhEU6Qi2dSJpZ,spotify:track:63BokRfXSQhEU6Qi2dSJpZ,https://api.spotify.com/v1/tracks/63BokRfXSQhEU6Qi2dSJpZ,https://api.spotify.com/v1/audio-analysis/63BokRfXSQhEU6Qi2dSJpZ,308733,4,0,1605237,639973,98285427
1464,2esWeP8Ln1sXA0jbDmi3Zq,41qil2VaGbD194gaEcmmyx,Gettin' Jiggy Wit It,0.881,0.874,6,-4.505,1,0.139,0.0175,1.14e-06,0.154,0.858,107.891,audio_features,0weAUscowxeqDtpCgtbpgp,spotify:track:0weAUscowxeqDtpCgtbpgp,https://api.spotify.com/v1/tracks/0weAUscowxeqDtpCgtbpgp,https://api.spotify.com/v1/audio-analysis/0weAUscowxeqDtpCgtbpgp,227933,4,0,7561328,832154,254562506
1465,20oYv277dnE5R38Uayekcm,0TyHbKduQvk2rUvxw8nNhD,L i f e,0.541,0.425,6,-11.916,1,0.0798,0.153,0.0,0.0672,0.301,120.22,audio_features,01qlosBf7N9CPvLEzD1qdB,spotify:track:01qlosBf7N9CPvLEzD1qdB,https://api.spotify.com/v1/tracks/01qlosBf7N9CPvLEzD1qdB,https://api.spotify.com/v1/audio-analysis/01qlosBf7N9CPvLEzD1qdB,165333,5,0,6251,120,10217
1466,2rwxFqXjVCGQejC0RKZMiX,1MPME61h8cHgSpLJvSma3l,Talkin'bout,0.719,0.281,4,-20.859,0,0.196,0.0802,1.26e-05,0.27,0.575,163.945,audio_features,023dQsO7QwtS9lgsGLW2Xl,spotify:track:023dQsO7QwtS9lgsGLW2Xl,https://api.spotify.com/v1/tracks/023dQsO7QwtS9lgsGLW2Xl,https://api.spotify.com/v1/audio-analysis/023dQsO7QwtS9lgsGLW2Xl,168250,1,0,2,0,0
1467,2gbKKxxb5J5rdV2kOera17,1tLBGdXBhTGv1XSC6CWmp2,FIRST,0.725,0.672,2,-5.757,1,0.12,0.286,0.00717,0.114,0.121,102.952,audio_features,02SRNbKkz3KWX00hF8pY36,spotify:track:02SRNbKkz3KWX00hF8pY36,https://api.spotify.com/v1/tracks/02SRNbKkz3KWX00hF8pY36,https://api.spotify.com/v1/audio-analysis/02SRNbKkz3KWX00hF8pY36,186408,4,0,714,9,1014
1468,1w7O9wrIzlq5RyVrVBA4M5,4WZOUtaFxkmZj9aPpKoalG,LUXURY,0.594,0.519,8,-7.358,1,0.305,0.0233,0.0,0.137,0.16,139.637,audio_features,08AIaLmWUfh4DHYK5qG83H,spotify:track:08AIaLmWUfh4DHYK5qG83H,https://api.spotify.com/v1/tracks/08AIaLmWUfh4DHYK5qG83H,https://api.spotify.com/v1/audio-analysis/08AIaLmWUfh4DHYK5qG83H,180271,4,0,10822,374,13855
1469,2RlULTalU0Mepn53x39v5U,5tUD7ckngRSdRf22iQUDZa,Supersonic,0.678,0.629,7,-10.95,1,0.346,0.0534,0.0,0.428,0.669,79.959,audio_features,0EbaFxqNAh9hM0CtQHP2a9,spotify:track:0EbaFxqNAh9hM0CtQHP2a9,https://api.spotify.com/v1/tracks/0EbaFxqNAh9hM0CtQHP2a9,https://api.spotify.com/v1/audio-analysis/0EbaFxqNAh9hM0CtQHP2a9,205558,4,0,6927,14,7118
1470,5W2iwo9B7Cg2fexh7vVzQh,6dbFJrn9O9rHU6xz7vWIKw,Greatest,0.884,0.511,2,-8.048,0,0.201,0.347,0.0,0.189,0.511,116.063,audio_features,0GgwzhrlmqtVWW339OyxHn,spotify:track:0GgwzhrlmqtVWW339OyxHn,https://api.spotify.com/v1/tracks/0GgwzhrlmqtVWW339OyxHn,https://api.spotify.com/v1/audio-analysis/0GgwzhrlmqtVWW339OyxHn,165517,4,0,4885,885,7745
1471,5X3xSaJuSD2xqYcAxP7U9C,04jRnH0X3cdo5NKfksHsSd,Michael,0.842,0.62,10,-10.63,0,0.145,0.00928,0.0,0.0947,0.192,100.032,audio_features,0RmJqmKh5RACD04THPn3cL,spotify:track:0RmJqmKh5RACD04THPn3cL,https://api.spotify.com/v1/tracks/0RmJqmKh5RACD04THPn3cL,https://api.spotify.com/v1/audio-analysis/0RmJqmKh5RACD04THPn3cL,189144,4,0,5859,744,47933
